eutrophication,temp,repeat,persistence
1.0,289.15,4.0,0.5
1.0,289.15,5.0,0.6333333333333333
1.0,289.15,6.0,0.43333333333333335
1.0,289.15,7.0,0.4666666666666667
1.0,289.15,8.0,0.5
1.0,289.15,9.0,0.36666666666666664
1.0,289.15,10.0,0.5666666666666667
1.0,291.15,1.0,0.9666666666666667
1.0,291.15,2.0,0.5
1.0,291.15,3.0,0.4666666666666667
1.0,291.15,4.0,0.5
1.0,291.15,5.0,0.6333333333333333
1.0,291.15,6.0,0.43333333333333335
1.0,291.15,7.0,0.4666666666666667
1.0,291.15,8.0,0.5
1.0,291.15,9.0,0.36666666666666664
1.0,291.15,10.0,0.5666666666666667
1.0,293.15,1.0,0.9666666666666667
1.0,293.15,2.0,0.5
1.0,293.15,3.0,0.4666666666666667
1.0,293.15,4.0,0.5
1.0,293.15,5.0,0.6333333333333333
1.0,293.15,6.0,0.43333333333333335
1.0,293.15,7.0,0.4666666666666667
1.0,293.15,8.0,0.5
1.0,293.15,9.0,0.36666666666666664
1.0,293.15,10.0,0.6
1.0,295.15,1.0,0.9666666666666667
1.0,295.15,2.0,0.5
1.0,295.15,3.0,0.4666666666666667
1.0,295.15,4.0,0.5
1.0,295.15,5.0,0.6333333333333333
1.0,295.15,6.0,0.43333333333333335
1.0,295.15,7.0,0.4666666666666667
1.0,295.15,8.0,0.5
1.0,295.15,9.0,0.36666666666666664
1.0,295.15,10.0,0.6
1.0,297.15,1.0,0.9666666666666667
1.0,297.15,2.0,0.5
1.0,297.15,3.0,0.4666666666666667
1.0,297.15,4.0,0.5
1.0,297.15,5.0,0.6333333333333333
1.0,297.15,6.0,0.43333333333333335
1.0,297.15,7.0,0.4666666666666667
1.0,297.15,8.0,0.5
1.0,297.15,9.0,0.36666666666666664
1.0,297.15,10.0,0.6
1.0,299.15,1.0,0.9666666666666667
1.0,299.15,2.0,0.5
1.0,299.15,3.0,0.4666666666666667
1.0,299.15,4.0,0.5
1.0,299.15,5.0,0.6333333333333333
1.0,299.15,6.0,0.43333333333333335
1.0,299.15,7.0,0.4666666666666667
1.0,299.15,8.0,0.5
1.0,299.15,9.0,0.36666666666666664
1.0,299.15,10.0,0.6
1.0,301.15,1.0,0.9666666666666667
1.0,301.15,2.0,0.5
1.0,301.15,3.0,0.4666666666666667
1.0,301.15,4.0,0.5
1.0,301.15,5.0,0.6333333333333333
1.0,301.15,6.0,0.43333333333333335
1.0,301.15,7.0,0.4666666666666667
1.0,301.15,8.0,0.5
1.0,301.15,9.0,0.36666666666666664
1.0,301.15,10.0,0.6
1.0,303.15,1.0,0.9666666666666667
1.0,303.15,2.0,0.5
1.0,303.15,3.0,0.4666666666666667
1.0,303.15,4.0,0.5
1.0,303.15,5.0,0.6333333333333333
1.0,303.15,6.0,0.4
1.0,303.15,7.0,0.4666666666666667
1.0,303.15,8.0,0.5
1.0,303.15,9.0,0.36666666666666664
1.0,303.15,10.0,0.6
1.0,305.15,1.0,0.9666666666666667
1.0,305.15,2.0,0.5
1.0,305.15,3.0,0.4666666666666667
1.0,305.15,4.0,0.5
1.0,305.15,5.0,0.6333333333333333
1.0,305.15,6.0,0.43333333333333335
1.0,305.15,7.0,0.4666666666666667
1.0,305.15,8.0,0.5
1.0,305.15,9.0,0.36666666666666664
1.0,305.15,10.0,0.6
1.0,307.15,1.0,0.9666666666666667
1.0,307.15,2.0,0.5
1.0,307.15,3.0,0.4666666666666667
1.0,307.15,4.0,0.5
1.0,307.15,5.0,0.6333333333333333
1.0,307.15,6.0,0.43333333333333335
1.0,307.15,7.0,0.4666666666666667
1.0,307.15,8.0,0.5
1.0,307.15,9.0,0.36666666666666664
1.0,307.15,10.0,0.6
1.0,309.15,1.0,0.9666666666666667
1.0,309.15,2.0,0.5
1.0,309.15,3.0,0.4666666666666667
1.0,309.15,4.0,0.5
1.0,309.15,5.0,0.6333333333333333
1.0,309.15,6.0,0.43333333333333335
1.0,309.15,7.0,0.4666666666666667
1.0,309.15,8.0,0.5
1.0,309.15,9.0,0.3333333333333333
1.0,309.15,10.0,0.5666666666666667
