eutrophication,temp,repeat,persistence
1.0,281.15,24.0,0.43333333333333335
1.0,281.15,25.0,0.6333333333333333
1.0,281.15,26.0,0.5
1.0,281.15,27.0,0.4666666666666667
1.0,281.15,28.0,0.7333333333333333
1.0,281.15,29.0,0.6666666666666666
1.0,281.15,30.0,0.4666666666666667
1.0,283.15,1.0,0.6
1.0,283.15,2.0,0.9666666666666667
1.0,283.15,3.0,0.4666666666666667
1.0,283.15,4.0,0.4666666666666667
1.0,283.15,5.0,0.5
1.0,283.15,6.0,0.6333333333333333
1.0,283.15,7.0,0.43333333333333335
1.0,283.15,8.0,0.4666666666666667
1.0,283.15,9.0,0.5
1.0,283.15,10.0,0.4
1.0,283.15,11.0,0.5666666666666667
1.0,283.15,12.0,0.26666666666666666
1.0,283.15,13.0,0.36666666666666664
1.0,283.15,14.0,0.5333333333333333
1.0,283.15,15.0,0.5333333333333333
1.0,283.15,16.0,0.6666666666666666
1.0,283.15,17.0,0.5333333333333333
1.0,283.15,18.0,0.5666666666666667
1.0,283.15,19.0,0.5
1.0,283.15,20.0,0.36666666666666664
1.0,283.15,21.0,0.5
1.0,283.15,22.0,0.6333333333333333
1.0,283.15,23.0,0.6666666666666666
1.0,283.15,24.0,0.43333333333333335
1.0,283.15,25.0,0.6
1.0,283.15,26.0,0.5
1.0,283.15,27.0,0.4666666666666667
1.0,283.15,28.0,0.7333333333333333
1.0,283.15,29.0,0.6333333333333333
1.0,283.15,30.0,0.4666666666666667
1.0,285.15,1.0,0.6
1.0,285.15,2.0,0.9666666666666667
1.0,285.15,3.0,0.5
1.0,285.15,4.0,0.4666666666666667
1.0,285.15,5.0,0.5
1.0,285.15,6.0,0.6333333333333333
1.0,285.15,7.0,0.43333333333333335
1.0,285.15,8.0,0.4666666666666667
1.0,285.15,9.0,0.5
1.0,285.15,10.0,0.4
1.0,285.15,11.0,0.5666666666666667
1.0,285.15,12.0,0.26666666666666666
1.0,285.15,13.0,0.36666666666666664
1.0,285.15,14.0,0.5333333333333333
1.0,285.15,15.0,0.5333333333333333
1.0,285.15,16.0,0.6666666666666666
1.0,285.15,17.0,0.5333333333333333
1.0,285.15,18.0,0.5666666666666667
1.0,285.15,19.0,0.5
1.0,285.15,20.0,0.36666666666666664
1.0,285.15,21.0,0.5
1.0,285.15,22.0,0.6333333333333333
1.0,285.15,23.0,0.6666666666666666
1.0,285.15,24.0,0.43333333333333335
1.0,285.15,25.0,0.6
1.0,285.15,26.0,0.5
1.0,285.15,27.0,0.4666666666666667
1.0,285.15,28.0,0.7333333333333333
1.0,285.15,29.0,0.6333333333333333
