Column1
"200×6 DataFrame
 Row │ fw    step  temp     richness  stability    biomass
     │ Any   Any   Any      Any       Any          Any
─────┼──────────────────────────────────────────────────────
 141 │ 8.0   1.0   297.075  20.0      4.40641e-5   0.572962
 142 │ 8.0   2.0   292.336  20.0      1.55689e-8   2.29854
 143 │ 8.0   3.0   293.441  20.0      1.81473e-10  2.35355
 144 │ 8.0   4.0   296.557  20.0      0.000197759  2.46142
 145 │ 8.0   5.0   299.723  20.0      0.000210819  2.44434
 146 │ 8.0   6.0   300.603  20.0      0.000179256  2.41348
 147 │ 8.0   7.0   299.7    20.0      0.00021222   2.44293
 148 │ 8.0   8.0   297.952  20.0      0.000209108  2.47322
 149 │ 8.0   9.0   303.279  19.0      1.68291e-9   2.27373
 150 │ 8.0   10.0  303.772  19.0      4.03382e-9   2.24106
 151 │ 8.0   11.0  308.834  14.0      4.21973e-9   1.71195
 152 │ 8.0   12.0  307.108  14.0      7.71475e-10  1.8921
 153 │ 8.0   13.0  307.188  14.0      1.50804e-10  1.88473
 154 │ 8.0   14.0  309.282  14.0      5.83733e-11  1.65531
 155 │ 8.0   15.0  302.9    14.0      3.30762e-10  2.19572
 156 │ 8.0   16.0  307.769  14.0      1.76734e-12  1.82878
 157 │ 8.0   17.0  314.055  7.0       4.58849e-16  1.07841
 158 │ 8.0   18.0  313.57   7.0       3.82592e-12  1.12249
 159 │ 8.0   19.0  312.641  7.0       3.52805e-12  1.21366
 160 │ 8.0   20.0  313.638  7.0       5.20251e-12  1.11618
 161 │ 9.0   1.0   297.075  18.0      0.00175101   0.57696
 162 │ 9.0   2.0   292.336  15.0      0.000397229  2.24574
 163 │ 9.0   3.0   293.441  15.0      0.000327867  2.33672
 164 │ 9.0   4.0   296.557  15.0      0.000231732  2.54493
 165 │ 9.0   5.0   299.723  15.0      8.99424e-5   2.67933
 166 │ 9.0   6.0   300.603  15.0      3.87221e-10  2.6946
 167 │ 9.0   7.0   299.7    15.0      9.01046e-5   2.6791
 168 │ 9.0   8.0   297.952  15.0      0.00018199   2.61746
 169 │ 9.0   9.0   303.279  15.0      3.04338e-10  2.65316
 170 │ 9.0   10.0  303.772  15.0      2.34253e-10  2.62832
 171 │ 9.0   11.0  308.834  13.0      3.02138e-8   1.94274
 172 │ 9.0   12.0  307.108  13.0      9.08363e-12  2.25564
 173 │ 9.0   13.0  307.188  13.0      1.12372e-10  2.24388
 174 │ 9.0   14.0  309.282  11.0      1.65526e-13  1.86357
 175 │ 9.0   15.0  302.9    11.0      1.45027e-11  2.98169
 176 │ 9.0   16.0  307.769  11.0      9.02875e-12  2.10006
 177 │ 9.0   17.0  314.055  8.0       1.80276e-15  1.23218
 178 │ 9.0   18.0  313.57   8.0       3.82592e-12  1.28284
 179 │ 9.0   19.0  312.641  8.0       3.52805e-12  1.38704
 180 │ 9.0   20.0  313.638  8.0       5.20251e-12  1.27564
 181 │ 10.0  1.0   297.075  12.0      9.15891e-8   0.797678
 182 │ 10.0  2.0   292.336  10.0      2.66249e-10  1.82654
 183 │ 10.0  3.0   293.441  10.0      0.000160469  1.6204
 184 │ 10.0  4.0   296.557  10.0      9.73809e-5   1.74678
 185 │ 10.0  5.0   299.723  9.0       1.93738e-5   1.80185
 186 │ 10.0  6.0   300.603  9.0       1.65242e-5   1.79632
 187 │ 10.0  7.0   299.7    9.0       1.8902e-5    1.80216
 188 │ 10.0  8.0   297.952  9.0       6.3391e-5    1.78375
 189 │ 10.0  9.0   303.279  9.0       2.65689e-6   1.69831
 190 │ 10.0  10.0  303.772  7.0       2.90732e-14  1.67048
 191 │ 10.0  11.0  308.834  7.0       1.15412e-11  1.22288
 192 │ 10.0  12.0  307.108  7.0       1.36421e-12  1.41333
 193 │ 10.0  13.0  307.188  7.0       2.4496e-12   1.40548
 194 │ 10.0  14.0  309.282  7.0       2.2091e-10   1.16839
 195 │ 10.0  15.0  302.9    7.0       8.30356e-12  1.71736
 196 │ 10.0  16.0  307.769  7.0       1.20643e-11  1.34503
 197 │ 10.0  17.0  314.055  5.0       1.87487e-15  0.7702
 198 │ 10.0  18.0  313.57   5.0       3.82592e-12  0.801775
 199 │ 10.0  19.0  312.641  5.0       3.52805e-12  0.866901
 200 │ 10.0  20.0  313.638  5.0       5.20251e-12  0.797275"
"200×6 DataFrame
 Row │ fw    step  temp     richness  stability    biomass
     │ Any   Any   Any      Any       Any          Any
─────┼──────────────────────────────────────────────────────
   1 │ 1.0   1.0   297.075  20.0      1.98072e-6   0.436862
   2 │ 1.0   2.0   292.336  19.0      2.46694e-7   2.66636
